Отчёт проверки доступности IP:Порт (nmap)
Файл целей: /home/ATOMTES/vlaysavin/docker/scripts/ports/targets.txt
Дата: 27.05.2026 12:30:35   Root: true
======================================================================
ОТКРЫТ    | 185.179.36.230     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.231     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.232     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.233     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.239     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.240     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.241     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.242     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.243     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.244     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.245     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 185.179.36.246     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
НЕИЗВЕСТНО| 185.179.36.230     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.231     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.232     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.233     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.239     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.240     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.241     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.242     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.243     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.244     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.245     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.246     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.230     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.231     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.232     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.233     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.239     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.240     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.241     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.242     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.243     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.244     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.245     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.246     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
ОТКРЫТ    | 10.126.126.45      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 10.126.126.46      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 10.126.126.47      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 10.126.126.48      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 10.126.126.49      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 10.126.126.50      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 10.126.126.51      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 10.126.126.52      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 10.126.126.53      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 10.126.126.54      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 10.126.126.55      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
ОТКРЫТ    | 10.126.126.56      | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
НЕИЗВЕСТНО| 10.126.126.45      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 10.126.126.46      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 10.126.126.47      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 10.126.126.48      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 10.126.126.49      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 10.126.126.50      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 10.126.126.51      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 10.126.126.52      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 10.126.126.53      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 10.126.126.54      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 10.126.126.55      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 10.126.126.56      | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 10.126.126.45      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.46      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.47      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.48      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.49      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.50      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.51      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.52      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.53      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.54      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.55      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 10.126.126.56      | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
ОТКРЫТ    | 185.179.36.141     | tcp   | 443              | Клиентское подключение к системе по протоколу HTTPS
ЗАКРЫТ    | 185.179.36.141     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
НЕИЗВЕСТНО| 185.179.36.141     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
ОТКРЫТ    | 185.179.36.144     | tcp   | 443              | Клиентское подключение к системе по протоколу HTTPS
ЗАКРЫТ    | 185.179.36.144     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
НЕИЗВЕСТНО| 185.179.36.144     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.144     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
НЕИЗВЕСТНО| 185.179.36.146     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
ОТКРЫТ    | 185.179.36.146     | tcp   | 443              | Клиентское подключение к системе по протоколу HTTPS
ЗАКРЫТ    | 185.179.36.146     | udp   | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN
НЕИЗВЕСТНО| 185.179.36.146     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем
НЕИЗВЕСТНО| 185.179.36.149     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS
ОТКРЫТ    | 185.179.36.149     | tcp   | 443              | Клиентское подключение к системе по протоколу HTTPS (только для электроэнергетического дивизиона)
ЗАКРЫТ    | 185.179.36.149     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN (только для электроэнергетического дивизиона)
НЕИЗВЕСТНО| 185.179.36.149     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем (только для электроэнергетического дивизиона)
НЕИЗВЕСТНО| 185.179.36.149     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS (только для электроэнергетического дивизиона)
ОТКРЫТ    | 185.179.36.157     | tcp   | 443              | Клиентское подключение к системе по протоколу HTTPS (только для инжинирингового дивизиона)
ЗАКРЫТ    | 185.179.36.157     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN (только для инжинирингового дивизиона)
НЕИЗВЕСТНО| 185.179.36.157     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем (только для инжинирингового дивизиона)
НЕИЗВЕСТНО| 185.179.36.157     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS (только для инжинирингового дивизиона)
ОТКРЫТ    | 185.179.36.158     | tcp   | 443              | Клиентское подключение к системе по протоколу HTTPS (только для топливного дивизиона)
ЗАКРЫТ    | 185.179.36.158     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN (только для топливного дивизиона)
НЕИЗВЕСТНО| 185.179.36.158     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем (только для топливного дивизиона)
НЕИЗВЕСТНО| 185.179.36.158     | udp   | 20000-40000      | Видео вызовы и конференции пользователей CTS (только для топливного дивизиона)
ОТКРЫТ    | 185.179.36.140     | tcp   | 443              | Доступ внешних клиентов к кластеру Web клиента c Web и Desktop клиентов
ОТКРЫТ    | 185.179.36.142     | tcp   | 443              | Клиентское подключение к системе по протоколу HTTPS (только для Гринатом и ГПР)
ЗАКРЫТ    | 185.179.36.142     | both  | 3478             | Прохождение медиа трафиком NAT на стороне клиента. STUN/TURN (только для Гринатом и ГПР)
НЕИЗВЕСТНО| 185.179.36.142     | udp   | 49152-65535      | Аудио вызовы между пользователями разных CTS либо публичным пользователем (только для Гринатом и ГПР)
